"word","partOfSpeech","definition","exampleSentence","sourceGroup"
"constituent","noun","an essential part","The word constituent refers to an essential part, and that meaning fits the scene.","Unit 13"
"constitute","verb","To form or compose (part of) something","To constitute means to form or compose (part of) something, so the group chose to constitute before the problem became worse.","Unit 04"
"constrain","verb","to hold back","To constrain means to hold back, so the group chose to constrain before the problem became worse.","Unit 28"
"construe","verb","to interpret","To construe means to interpret, so the group chose to construe before the problem became worse.","Unit 38"
"consummate","adjective","perfect and complete","Someone who is consummate is perfect and complete, and the character seemed exactly that.","Unit 01"
"consumption","noun","the act of consuming","The word consumption refers to the act of consuming, and that meaning fits the scene.","Unit 40"
"contemplate","verb","To think deeply about","To contemplate means to think deeply about, so the group chose to contemplate before the problem became worse.","Unit 26"
"contemporaneous","adjective","existing during the same time","Someone who is contemporaneous is existing during the same time, and the character seemed exactly that.","Unit 16"
"contempt","noun","scorn or open disrespect","The word contempt refers to scorn or open disrespect, and that meaning fits the scene.","Unit 30"
"contentious","adjective","having a tendency to quarrel or dispute","Someone who is contentious is having a tendency to quarrel or dispute, and the character seemed exactly that.","Unit 23"
"contravene","verb","to contradict, oppose, violate","To contravene means to contradict, oppose, violate, so the group chose to contravene before the problem became worse.","Unit 37"
"contrite","adjective","feeling guilty and remorseful","Someone who is contrite is feeling guilty and remorseful, and the character seemed exactly that.","Unit 40"
"contusion","noun","bruise, injury","The word contusion refers to bruise, injury, and that meaning fits the scene.","Unit 35"
"conundrum","noun","puzzle, problem","The word conundrum refers to puzzle, problem, and that meaning fits the scene.","Unit 20"
"convene","verb","to call together","To convene means to call together, so the group chose to convene before the problem became worse.","Unit 25"
"conventional","adjective","following accepted customs and behaviors","Someone who is conventional is following accepted customs and behaviors, and the character seemed exactly that.","Unit 42"
"convivial","adjective","characterized by feasting, drinking, merriment","Someone who is convivial is characterized by feasting, drinking, merriment, and the character seemed exactly that.","Unit 35"
"convoluted","adjective","complicated","Someone who is convoluted is complicated, and the character seemed exactly that.","Unit 39"
"copious","adjective","profuse, abundant","Someone who is copious is profuse, abundant, and the character seemed exactly that.","Unit 41"
"cordial","adjective","friendly and polite","Someone who is cordial is friendly and polite, and the character seemed exactly that.","Unit 02"
"coronation","noun","the act of crowning","The word coronation refers to the act of crowning, and that meaning fits the scene.","Unit 04"
"corroborate","verb","to confirm or support with evidence","To corroborate means to confirm or support with evidence, so the group chose to corroborate before the problem became worse.","Unit 28"
"corrosive","adjective","having the tendency to erode or eat away","Someone who is corrosive is having the tendency to erode or eat away, and the character seemed exactly that.","Unit 09"
"cosmopolitan","adjective","sophisticated, worldly","Someone who is cosmopolitan is sophisticated, worldly, and the character seemed exactly that.","Unit 01"
"counteract","verb","to neutralize, make ineffective","To counteract means to neutralize, make ineffective, so the group chose to counteract before the problem became worse.","Unit 15"
"courtier","noun","a member of a royal court or a person who seeks favor through excessive flattery","The word courtier refers to a member of a royal court or a person who seeks favor through excessive flattery, and that meaning fits the scene.","Unit 16"
"covert","adjective","secretly engaged in","Someone who is covert is secretly engaged in, and the character seemed exactly that.","Unit 43"
"covet","verb","to desire enviously","To covet means to desire enviously, so the group chose to covet before the problem became worse.","Unit 35"
"credulity","noun","readiness to believe","The word credulity refers to readiness to believe, and that meaning fits the scene.","Unit 27"
"crescendo","noun","a steady increase in intensity or volume","The word crescendo refers to a steady increase in intensity or volume, and that meaning fits the scene.","Unit 19"
"criteria","noun","standards by which something is judged","The word criteria refers to standards by which something is judged, and that meaning fits the scene.","Unit 35"
"culmination","noun","the climax toward which something progresses","The word culmination refers to the climax toward which something progresses, and that meaning fits the scene.","Unit 29"
"culpable","adjective","deserving blame","Someone who is culpable is deserving blame, and the character seemed exactly that.","Unit 07"
"cultivate","verb","to nurture, improve, refine","To cultivate means to nurture, improve, refine, so the group chose to cultivate before the problem became worse.","Unit 26"
"cumbersome","adjective","clumsy, awkward, and heavy","Someone who is cumbersome is clumsy, awkward, and heavy, and the character seemed exactly that.","Unit 25"
"cumulative","adjective","increasing, building upon itself","Someone who is cumulative is increasing, building upon itself, and the character seemed exactly that.","Unit 41"
"cunning","pos","deceptive and sly","In this context, cunning refers to deceptive and sly.","Unit 33"
"cupidity","noun","greed, strong desire","The word cupidity refers to greed, strong desire, and that meaning fits the scene.","Unit 45"
"curative","adjective","tending to cure or restore to health","Someone who is curative is tending to cure or restore to health, and the character seemed exactly that.","Unit 02"
"curator","noun","a person who manages a museum","The word curator refers to a person who manages a museum, and that meaning fits the scene.","Unit 36"
"cursory","adjective","brief to the point of being superficial","Someone who is cursory is brief to the point of being superficial, and the character seemed exactly that.","Unit 43"
"curt","adjective","abruptly and rudely short","Someone who is curt is abruptly and rudely short, and the character seemed exactly that.","Unit 35"
"curtail","verb","to cut short or restrict","To curtail means to cut short or restrict, so the group chose to curtail before the problem became worse.","Unit 09"
"cynical","adjective","distrusting and pessimistic","Someone who is cynical is distrusting and pessimistic, and the character seemed exactly that.","Unit 34"
"dalliance","noun","the deliberate act of delaying and playing instead of working","The word dalliance refers to the deliberate act of delaying and playing instead of working, and that meaning fits the scene.","Unit 27"
"daunt","verb","to cause to lose courage","To daunt means to cause to lose courage, so the group chose to daunt before the problem became worse.","Unit 29"
"daunting","adjective","intimidating, causing one to lose courage","Someone who is daunting is intimidating, causing one to lose courage, and the character seemed exactly that.","Unit 13"
"dearth","noun","a lack in supply","The word dearth refers to a lack in supply, and that meaning fits the scene.","Unit 01"
"debacle","noun","a disastrous failure, disruption","The word debacle refers to a disastrous failure, disruption, and that meaning fits the scene.","Unit 28"
"debase","verb","to lower the quality or esteem of something","To debase means to lower the quality or esteem of something, so the group chose to debase before the problem became worse.","Unit 06"
"debauch","verb","to corrupt by means of sensual pleasures","To debauch means to corrupt by means of sensual pleasures, so the group chose to debauch before the problem became worse.","Unit 45"
"debunk","verb","to prove untrue","To debunk means to prove untrue, so the group chose to debunk before the problem became worse.","Unit 01"
"decimate","verb","to destroy a large portion of","To decimate means to destroy a large portion of, so the group chose to decimate before the problem became worse.","Unit 16"
"decisive","adjective","deciding without dispute or hesitation","Someone who is decisive is deciding without dispute or hesitation, and the character seemed exactly that.","Unit 10"
"decorous","adjective","proper and dignified","Someone who is decorous is proper and dignified, and the character seemed exactly that.","Unit 03"
"decry","verb","to criticize openly","To decry means to criticize openly, so the group chose to decry before the problem became worse.","Unit 30"
"deface","verb","to ruin or injure something's appearance","To deface means to ruin or injure something's appearance, so the group chose to deface before the problem became worse.","Unit 12"
"defamatory","adjective","harmful toward another's reputation","Someone who is defamatory is harmful toward another's reputation, and the character seemed exactly that.","Unit 37"
"defector","noun","a person who deserts a country or group in order to join another country or group","The word defector refers to a person who deserts a country or group in order to join another country or group, and that meaning fits the scene.","Unit 42"
"defer","verb","to delay or postpone","To defer means to delay or postpone, so the group chose to defer before the problem became worse.","Unit 32"
"deferential","adjective","showing respect for another's authority","Someone who is deferential is showing respect for another's authority, and the character seemed exactly that.","Unit 39"
"defile","verb","to make unclean, impure","To defile means to make unclean, impure, so the group chose to defile before the problem became worse.","Unit 09"
"deft","adjective","skillful, capable","Someone who is deft is skillful, capable, and the character seemed exactly that.","Unit 05"
"defunct","adjective","no longer used or existing","Someone who is defunct is no longer used or existing, and the character seemed exactly that.","Unit 02"
"deject","verb","to lower someone's spirits; make downhearted","To deject means to lower someone's spirits; make downhearted, so the group chose to deject before the problem became worse.","Unit 26"
"delegate","verb","to hand over responsibility for something","To delegate means to hand over responsibility for something, so the group chose to delegate before the problem became worse.","Unit 40"
"deleterious","adjective","harmful","Someone who is deleterious is harmful, and the character seemed exactly that.","Unit 08"
"deliberate","verb","to carefully consider","To deliberate means to carefully consider, so the group chose to deliberate before the problem became worse.","Unit 12"
"delineate","verb","to outline","To delineate means to outline, so the group chose to delineate before the problem became worse.","Unit 25"
"demagogue","noun","a political leader who seeks support by appealing to popular passions and prejudices","The word demagogue refers to a political leader who seeks support by appealing to popular passions and prejudices, and that meaning fits the scene.","Unit 30"
"demarcate","verb","o set, mark, or draw the boundaries of something","To demarcate means to o set, mark, or draw the boundaries of something, so the group chose to demarcate before the problem became worse.","Unit 37"
"demarcation","noun","the marking of boundaries or categories","The word demarcation refers to the marking of boundaries or categories, and that meaning fits the scene.","Unit 17"
"demean","verb","to lower the status or stature of something","To demean means to lower the status or stature of something, so the group chose to demean before the problem became worse.","Unit 22"
"demeanor","noun","behavior","The word demeanor refers to behavior, and that meaning fits the scene.","Unit 42"
"demure","adjective","quiet, modest, reserved","Someone who is demure is quiet, modest, reserved, and the character seemed exactly that.","Unit 42"
"denigrate","verb","to damage the reputation of","To denigrate means to damage the reputation of, so the group chose to denigrate before the problem became worse.","Unit 22"
"denounce","verb","to openly speak out against","To denounce means to openly speak out against, so the group chose to denounce before the problem became worse.","Unit 21"
"depict","verb","to represent or show","To depict means to represent or show, so the group chose to depict before the problem became worse.","Unit 16"
"deplore","verb","to feel or express sorrow, disapproval","To deplore means to feel or express sorrow, disapproval, so the group chose to deplore before the problem became worse.","Unit 38"
"depravity","noun","wickedness","The word depravity refers to wickedness, and that meaning fits the scene.","Unit 06"
"deprecate","verb","to belittle, depreciate","To deprecate means to belittle, depreciate, so the group chose to deprecate before the problem became worse.","Unit 22"
"derelict","noun","a person without a home, job, or property","The word derelict refers to a person without a home, job, or property, and that meaning fits the scene.","Unit 10"
"deride","verb","to ridicule","To deride means to ridicule, so the group chose to deride before the problem became worse.","Unit 12"
"derivative","noun","something that came from an original","The word derivative refers to something that came from an original, and that meaning fits the scene.","Unit 02"
"desecrate","verb","to violate the sacredness of a thing or place","To desecrate means to violate the sacredness of a thing or place, so the group chose to desecrate before the problem became worse.","Unit 33"
"desiccated","adjective","dried up, dehydrated","Someone who is desiccated is dried up, dehydrated, and the character seemed exactly that.","Unit 01"
"desolate","adjective","Bare, barren, empty","Someone who is desolate is bare, barren, empty, and the character seemed exactly that.","Unit 04"
"despoiler","noun","a person who steals goods","The word despoiler refers to a person who steals goods, and that meaning fits the scene.","Unit 19"
"despondent","adjective","feeling or expressing hopelessness","Someone who is despondent is feeling or expressing hopelessness, and the character seemed exactly that.","Unit 14"
"despot","noun","a ruler with complete power","The word despot refers to a ruler with complete power, and that meaning fits the scene.","Unit 16"
"destitute","adjective","completely wanting or lacking (usually money, food, and shelter)","Someone who is destitute is completely wanting or lacking (usually money, food, and shelter), and the character seemed exactly that.","Unit 05"
"deter","verb","to discourage, prevent from doing","To deter means to discourage, prevent from doing, so the group chose to deter before the problem became worse.","Unit 26"
"detract","verb","to take away","To detract means to take away, so the group chose to detract before the problem became worse.","Unit 45"
"devious","adjective","not straightforward, deceitful","Someone who is devious is not straightforward, deceitful, and the character seemed exactly that.","Unit 39"
"devise","verb","To come up with (a plan)","To devise means to come up with (a plan), so the group chose to devise before the problem became worse.","Unit 06"
"devoid","adjective","completely wanting or lacking","Someone who is devoid is completely wanting or lacking, and the character seemed exactly that.","Unit 30"
"devotee","noun","an ardent follower and admirer","The word devotee refers to an ardent follower and admirer, and that meaning fits the scene.","Unit 10"
"dialect","noun","a variation of a language","The word dialect refers to a variation of a language, and that meaning fits the scene.","Unit 17"
"diaphanous","adjective","light, airy, transparent","Someone who is diaphanous is light, airy, transparent, and the character seemed exactly that.","Unit 42"
"didactic","adjective","educational","Someone who is didactic is educational, and the character seemed exactly that.","Unit 38"
"differentiate","verb","to mark as different","To differentiate means to mark as different, so the group chose to differentiate before the problem became worse.","Unit 17"
"diffident","adjective","shy, quiet, modest","Someone who is diffident is shy, quiet, modest, and the character seemed exactly that.","Unit 22"
"dignitary","noun","a person who has a high-ranking position The foreign dignitary was meeting with the President to discuss improving relations between the two countries","The word dignitary refers to a person who has a high-ranking position The foreign dignitary was meeting with the President to discuss improving relations between the two countries, and that meaning fits the scene.","Unit 40"
"digress","verb","to wander away, especially from the main subject of writing or speaking","To digress means to wander away, especially from the main subject of writing or speaking, so the group chose to digress before the problem became worse.","Unit 29"
"dilatory","adjective","intending to delay","Someone who is dilatory is intending to delay, and the character seemed exactly that.","Unit 10"
"dilemma","noun","A problem, usually requiring a choice between two options","The word dilemma refers to a problem, usually requiring a choice between two options, and that meaning fits the scene.","Unit 24"
"diligence","noun","Conscientiousness; the quality of being committed to a task","The word diligence refers to conscientiousness; the quality of being committed to a task, and that meaning fits the scene.","Unit 39"
"diligent","adjective","detailed and persistent","Someone who is diligent is detailed and persistent, and the character seemed exactly that.","Unit 36"
"diminish","verb","To become smaller in scope or degree","To diminish means to become smaller in scope or degree, so the group chose to diminish before the problem became worse.","Unit 18"
"diminutive","adjective","small or miniature","Someone who is diminutive is small or miniature, and the character seemed exactly that.","Unit 32"
"diplomatic","adjective","skillful in handling sensitive situations","Someone who is diplomatic is skillful in handling sensitive situations, and the character seemed exactly that.","Unit 11"
"dire","adjective","Hopeless and dangerous or fearful","Someone who is dire is hopeless and dangerous or fearful, and the character seemed exactly that.","Unit 19"
"dirge","noun","a mournful song, especially for a funeral","The word dirge refers to a mournful song, especially for a funeral, and that meaning fits the scene.","Unit 17"
"disaffected","adjective","rebellious, resentful of authority","Someone who is disaffected is rebellious, resentful of authority, and the character seemed exactly that.","Unit 12"
"disavow","verb","to deny knowledge of or responsibility for","To disavow means to deny knowledge of or responsibility for, so the group chose to disavow before the problem became worse.","Unit 02"
"discern","verb","to perceive or understand with sight or other senses","To discern means to perceive or understand with sight or other senses, so the group chose to discern before the problem became worse.","Unit 31"
"disclose","verb","to reveal or uncover","To disclose means to reveal or uncover, so the group chose to disclose before the problem became worse.","Unit 11"
"discomfit","verb","to thwart, baffle","To discomfit means to thwart, baffle, so the group chose to discomfit before the problem became worse.","Unit 38"
"discord","noun","Disagreement","The word discord refers to disagreement, and that meaning fits the scene.","Unit 39"
"discordant","adjective","not agreeing, not in harmony with","Someone who is discordant is not agreeing, not in harmony with, and the character seemed exactly that.","Unit 32"
"discredit","verb","to cause to be distrusted or disbelieved","To discredit means to cause to be distrusted or disbelieved, so the group chose to discredit before the problem became worse.","Unit 13"
"discreet","adjective","careful or moderate, especially concerning privacy","Someone who is discreet is careful or moderate, especially concerning privacy, and the character seemed exactly that.","Unit 46"
"discrepancy","noun","a difference or inconsistency","The word discrepancy refers to a difference or inconsistency, and that meaning fits the scene.","Unit 40"
"discretion","noun","the quality of being reserved in speech or action; good judgment","The word discretion refers to the quality of being reserved in speech or action; good judgment, and that meaning fits the scene.","Unit 23"
"discursive","adjective","rambling, lacking order","Someone who is discursive is rambling, lacking order, and the character seemed exactly that.","Unit 13"
"disdain","noun","A lack of respect and strong dislike (toward something or someone)","The word disdain refers to a lack of respect and strong dislike (toward something or someone), and that meaning fits the scene.","Unit 07"
"disenfranchise","verb","to deprive of voting rights","To disenfranchise means to deprive of voting rights, so the group chose to disenfranchise before the problem became worse.","Unit 47"
"disgruntled","adjective","in a state of sulky dissatisfaction","Someone who is disgruntled is in a state of sulky dissatisfaction, and the character seemed exactly that.","Unit 20"
"disheartened","adjective","feeling a loss of spirit or morale","Someone who is disheartened is feeling a loss of spirit or morale, and the character seemed exactly that.","Unit 05"
"disillusion","verb","to free from false beliefs","To disillusion means to free from false beliefs, so the group chose to disillusion before the problem became worse.","Unit 23"
"disingenuous","adjective","insincere","Someone who is disingenuous is insincere, and the character seemed exactly that.","Unit 02"
"dismay","noun/verb","Hopelessness, stress, or consternation; to fill with woe or apprehension","The word dismay refers to hopelessness, stress, or consternation; to fill with woe or apprehension, and that meaning fits the scene.","Unit 33"
"disparage","verb","to belittle or criticize","To disparage means to belittle or criticize, so the group chose to disparage before the problem became worse.","Unit 04"
"disparate","adjective","different and distinct","Someone who is disparate is different and distinct, and the character seemed exactly that.","Unit 17"
"dispatch","verb","to send off to accomplish a duty","To dispatch means to send off to accomplish a duty, so the group chose to dispatch before the problem became worse.","Unit 31"
"dispel","verb","to drive away","To dispel means to drive away, so the group chose to dispel before the problem became worse.","Unit 08"
"disperse","verb","to scatter, spread, or drive away","To disperse means to scatter, spread, or drive away, so the group chose to disperse before the problem became worse.","Unit 23"
"dispute","verb","to question the truth of","To dispute means to question the truth of, so the group chose to dispute before the problem became worse.","Unit 12"
"disrepute","noun","a state of being held in low regard","The word disrepute refers to a state of being held in low regard, and that meaning fits the scene.","Unit 21"
"dissemble","verb","to conceal, fake","To dissemble means to conceal, fake, so the group chose to dissemble before the problem became worse.","Unit 33"
"dissembler","noun","a person who conceals his real feelings by professing false beliefs","The word dissembler refers to a person who conceals his real feelings by professing false beliefs, and that meaning fits the scene.","Unit 27"
"disseminate","verb","to spread widely","To disseminate means to spread widely, so the group chose to disseminate before the problem became worse.","Unit 03"
"dissent","verb","to express a difference of opinion","To dissent means to express a difference of opinion, so the group chose to dissent before the problem became worse.","Unit 33"
"dissonance","noun","lack of harmony or consistency","The word dissonance refers to lack of harmony or consistency, and that meaning fits the scene.","Unit 33"
"dissuade","verb","to persuade someone not to do something","To dissuade means to persuade someone not to do something, so the group chose to dissuade before the problem became worse.","Unit 25"
"distend","verb","to swell out","To distend means to swell out, so the group chose to distend before the problem became worse.","Unit 33"
"dither","verb","to be indecisive","To dither means to be indecisive, so the group chose to dither before the problem became worse.","Unit 39"
"divert","verb","to turn away from a course","To divert means to turn away from a course, so the group chose to divert before the problem became worse.","Unit 43"
"divine","adjective","godly, exceedingly wonderful","Someone who is divine is godly, exceedingly wonderful, and the character seemed exactly that.","Unit 34"
"divisive","adjective","causing dissent, discord","Someone who is divisive is causing dissent, discord, and the character seemed exactly that.","Unit 09"
"divulge","verb","to reveal something secret","To divulge means to reveal something secret, so the group chose to divulge before the problem became worse.","Unit 38"
"docile","adjective","easily taught or managed","Someone who is docile is easily taught or managed, and the character seemed exactly that.","Unit 35"
"doctrine","noun","a belief that is taught, usually by a church or government","The word doctrine refers to a belief that is taught, usually by a church or government, and that meaning fits the scene.","Unit 21"
"dogmatic","adjective","characterized by assertion of unproved or unprovable principles","Someone who is dogmatic is characterized by assertion of unproved or unprovable principles, and the character seemed exactly that.","Unit 42"
"domestic","adjective","relating to the home or relating to the home country","Someone who is domestic is relating to the home or relating to the home country, and the character seemed exactly that.","Unit 04"
"dormant","adjective","sleeping, temporarily inactive","Someone who is dormant is sleeping, temporarily inactive, and the character seemed exactly that.","Unit 08"
"draconian","adjective","harsh and severe","Someone who is draconian is harsh and severe, and the character seemed exactly that.","Unit 47"
"dubious","adjective","doubtful; questionable","Someone who is dubious is doubtful; questionable, and the character seemed exactly that.","Unit 22"
"duplicity","noun","crafty dishonesty","The word duplicity refers to crafty dishonesty, and that meaning fits the scene.","Unit 04"
"duress","noun","hardship, threat","The word duress refers to hardship, threat, and that meaning fits the scene.","Unit 44"
"dynamic","adjective","actively changing","Someone who is dynamic is actively changing, and the character seemed exactly that.","Unit 21"
"earnest","adjective","serious; sincere","Someone who is earnest is serious; sincere, and the character seemed exactly that.","Unit 38"
"ebullient","adjective","extremely excited or enthusiastic","Someone who is ebullient is extremely excited or enthusiastic, and the character seemed exactly that.","Unit 18"
"eccentric","adjective","peculiar; odd","Someone who is eccentric is peculiar; odd, and the character seemed exactly that.","Unit 33"
"eclectic","adjective","made up of choices from diverse sources","Someone who is eclectic is made up of choices from diverse sources, and the character seemed exactly that.","Unit 44"
"ecstatic","adjective","intensely and overpoweringly happy","Someone who is ecstatic is intensely and overpoweringly happy, and the character seemed exactly that.","Unit 27"
"edict","noun","an order, decree","The word edict refers to an order, decree, and that meaning fits the scene.","Unit 44"
"efface","verb","to wipe out, obliterate, rub away","To efface means to wipe out, obliterate, rub away, so the group chose to efface before the problem became worse.","Unit 43"
"effervescent","adjective","bubbly, lively","Someone who is effervescent is bubbly, lively, and the character seemed exactly that.","Unit 24"
"efficacious","adjective","effective","Someone who is efficacious is effective, and the character seemed exactly that.","Unit 45"
"effrontery","noun","impudence, nerve, insolence","The word effrontery refers to impudence, nerve, insolence, and that meaning fits the scene.","Unit 24"
"effulgent","adjective","radiant, splendorous","Someone who is effulgent is radiant, splendorous, and the character seemed exactly that.","Unit 05"
"effusive","adjective","excessive enthusiasm or emotion","Someone who is effusive is excessive enthusiasm or emotion, and the character seemed exactly that.","Unit 27"
"egalitarian","adjective","characterized by the belief in equal rights for all people","Someone who is egalitarian is characterized by the belief in equal rights for all people, and the character seemed exactly that.","Unit 32"
"egotist","noun","a person who is conceited, boastful, and self-centered","The word egotist refers to a person who is conceited, boastful, and self-centered, and that meaning fits the scene.","Unit 42"
"egregious","adjective","outrageously bad or offensive","Someone who is egregious is outrageously bad or offensive, and the character seemed exactly that.","Unit 43"
"elaborate","adjective","complex, detailed, intricate","Someone who is elaborate is complex, detailed, intricate, and the character seemed exactly that.","Unit 37"
"elated","adjective","overjoyed, thrilled","Someone who is elated is overjoyed, thrilled, and the character seemed exactly that.","Unit 23"
"elegy","noun","a speech given in honor of a dead person","The word elegy refers to a speech given in honor of a dead person, and that meaning fits the scene.","Unit 07"
"elicit","verb","to call or bring out","To elicit means to call or bring out, so the group chose to elicit before the problem became worse.","Unit 29"
"elite","adjective","selected as the best","Someone who is elite is selected as the best, and the character seemed exactly that.","Unit 42"
"eloquent","adjective","expressing oneself powerfully and effectively","Someone who is eloquent is expressing oneself powerfully and effectively, and the character seemed exactly that.","Unit 17"
"elucidate","verb","to make clear by explanation","To elucidate means to make clear by explanation, so the group chose to elucidate before the problem became worse.","Unit 09"
"elude","verb","to evade, escape","To elude means to evade, escape, so the group chose to elude before the problem became worse.","Unit 24"
"emaciated","adjective","very thin, enfeebled looking","Someone who is emaciated is very thin, enfeebled looking, and the character seemed exactly that.","Unit 14"
"emancipator","noun","a person who frees others from bondage","The word emancipator refers to a person who frees others from bondage, and that meaning fits the scene.","Unit 21"
"embellish","verb","o make better by adding details (especially false details)","To embellish means to o make better by adding details (especially false details), so the group chose to embellish before the problem became worse.","Unit 46"
"embezzle","verb","to steal money by falsifying records","To embezzle means to steal money by falsifying records, so the group chose to embezzle before the problem became worse.","Unit 18"
"embroil","verb","to bring into an argument or negative situation","To embroil means to bring into an argument or negative situation, so the group chose to embroil before the problem became worse.","Unit 32"
"emend","verb","to correct or revise a written text","To emend means to correct or revise a written text, so the group chose to emend before the problem became worse.","Unit 41"
"eminent","adjective","distinguished and prominent","Someone who is eminent is distinguished and prominent, and the character seemed exactly that.","Unit 11"
"emissary","noun","a person sent on a mission to represent the interests of someone else","The word emissary refers to a person sent on a mission to represent the interests of someone else, and that meaning fits the scene.","Unit 30"
"emollient","noun","having a softening or soothing effect, especially to the skin","The word emollient refers to having a softening or soothing effect, especially to the skin, and that meaning fits the scene.","Unit 01"
"emote","verb","to express emotion","To emote means to express emotion, so the group chose to emote before the problem became worse.","Unit 38"
"empathy","noun","the understanding of another's feelings","The word empathy refers to the understanding of another's feelings, and that meaning fits the scene.","Unit 34"
"emphatic","adjective","expressed with emphasis","Someone who is emphatic is expressed with emphasis, and the character seemed exactly that.","Unit 08"
"empirical","adjective","resulting from an experiment","Someone who is empirical is resulting from an experiment, and the character seemed exactly that.","Unit 38"
"emulate","verb","to imitate in order to match or excel","To emulate means to imitate in order to match or excel, so the group chose to emulate before the problem became worse.","Unit 20"
"enamor","verb","to fill with love, fascinate, usually used in passive form followed by ""of"" or ""with""","To enamor means to fill with love, fascinate, usually used in passive form followed by ""of"" or ""with"", so the group chose to enamor before the problem became worse.","Unit 11"
"encompass","verb","to surround or to include The author's works encompassed nearly every genre, from poetry to theater to fiction. Word Form: encompassment Related Word: compass (vb.) esteemed: (adj) highly respected","To encompass means to surround or to include The author's works encompassed nearly every genre, from poetry to theater to fiction. Word Form: encompassment Related Word: compass (vb.) esteemed: (adj) highly respected, so the group chose to encompass before the problem became worse.","Unit 31"
"encore","noun","the audience's demand for a repeat performance; also the artist's performance in response to that demand","The word encore refers to the audience's demand for a repeat performance; also the artist's performance in response to that demand, and that meaning fits the scene.","Unit 19"
"encumber","verb","to weigh down, burden","To encumber means to weigh down, burden, so the group chose to encumber before the problem became worse.","Unit 27"
"endure","verb","to continue despite difficulty","To endure means to continue despite difficulty, so the group chose to endure before the problem became worse.","Unit 28"
"enervate","verb","to weaken, exhaust","To enervate means to weaken, exhaust, so the group chose to enervate before the problem became worse.","Unit 29"
"enervated","adjective","lacking strength or vigor","Someone who is enervated is lacking strength or vigor, and the character seemed exactly that.","Unit 21"
"enfranchise","verb","to grant the vote to","To enfranchise means to grant the vote to, so the group chose to enfranchise before the problem became worse.","Unit 42"
"engender","verb","to bring about, create, generate","To engender means to bring about, create, generate, so the group chose to engender before the problem became worse.","Unit 30"
"enigma","noun","a puzzle","The word enigma refers to a puzzle, and that meaning fits the scene.","Unit 34"
"enigmatic","adjective","mystifying, cryptic","Someone who is enigmatic is mystifying, cryptic, and the character seemed exactly that.","Unit 37"
"enmity","noun","ill will, hatred, hostility","The word enmity refers to ill will, hatred, hostility, and that meaning fits the scene.","Unit 01"
"ennui","noun","boredom, weariness","The word ennui refers to boredom, weariness, and that meaning fits the scene.","Unit 39"
"entail","verb","to include as a necessary step","To entail means to include as a necessary step, so the group chose to entail before the problem became worse.","Unit 40"
"enthrall","verb","to charm, hold spellbound","To enthrall means to charm, hold spellbound, so the group chose to enthrall before the problem became worse.","Unit 37"
"entrenched","adjective","Firmly established","Someone who is entrenched is firmly established, and the character seemed exactly that.","Unit 12"
"entrepreneur","noun","a person who organizes a business venture and assumes the risk for it","The word entrepreneur refers to a person who organizes a business venture and assumes the risk for it, and that meaning fits the scene.","Unit 11"
"enumerate","verb","To specify or count","To enumerate means to specify or count, so the group chose to enumerate before the problem became worse.","Unit 36"
"envy","noun/verb","Excessive jealousy; to admire and be jealous of","The word envy refers to excessive jealousy; to admire and be jealous of, and that meaning fits the scene.","Unit 26"
"ephemeral","adjective","lasting a very short time","Someone who is ephemeral is lasting a very short time, and the character seemed exactly that.","Unit 44"
"epistolary","adjective","relating to letters","Someone who is epistolary is relating to letters, and the character seemed exactly that.","Unit 46"
"epitome","noun","a perfect example","The word epitome refers to a perfect example, and that meaning fits the scene.","Unit 25"
"equanimity","noun","steadiness of mind under stress","The word equanimity refers to steadiness of mind under stress, and that meaning fits the scene.","Unit 17"
"equivocal","adjective","uncertain; open to multiple interpretations","Someone who is equivocal is uncertain; open to multiple interpretations, and the character seemed exactly that.","Unit 13"
"equivocate","verb","to be deliberately ambiguous or unclear in order to mislead or withhold information","To equivocate means to be deliberately ambiguous or unclear in order to mislead or withhold information, so the group chose to equivocate before the problem became worse.","Unit 24"
"eradicate","verb","to destroy","To eradicate means to destroy, so the group chose to eradicate before the problem became worse.","Unit 10"
"erratic","adjective","Having no fixed course; deviating from the norm","Someone who is erratic is having no fixed course; deviating from the norm, and the character seemed exactly that.","Unit 20"
"erroneous","adjective","mistaken; containing error","Someone who is erroneous is mistaken; containing error, and the character seemed exactly that.","Unit 11"
"erudite","adjective","learned","Someone who is erudite is learned, and the character seemed exactly that.","Unit 41"
"erudition","noun","knowledge gained from study","The word erudition refers to knowledge gained from study, and that meaning fits the scene.","Unit 15"
"eschew","verb","to shun, avoid","To eschew means to shun, avoid, so the group chose to eschew before the problem became worse.","Unit 29"
"esoteric","adjective","intended for a select group of people; secret or confidential","Someone who is esoteric is intended for a select group of people; secret or confidential, and the character seemed exactly that.","Unit 13"
"espouse","verb","to adopt or marry (such as an idea or cause)","To espouse means to adopt or marry (such as an idea or cause), so the group chose to espouse before the problem became worse.","Unit 04"
"establish","verb","To enact; to found (a business, group, school, etc.)","To establish means to enact; to found (a business, group, school, etc.), so the group chose to establish before the problem became worse.","Unit 14"
"estrangement","noun","separation resulting from hostility","The word estrangement refers to separation resulting from hostility, and that meaning fits the scene.","Unit 15"
"ethereal","adjective","heavenly, exceptionally delicate or refined","Someone who is ethereal is heavenly, exceptionally delicate or refined, and the character seemed exactly that.","Unit 42"
